City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,colonia,50.9333,6.95,31.09,34,0,2.06,DE,1723390196
108,alice springs,-23.7,133.8833,7.75,61,0,2.06,AU,1723390197
109,wuxi,31.5689,120.2886,27.72,87,100,1.47,CN,1723390129
110,port macquarie,-31.4333,152.9167,13.93,98,70,0.89,AU,1723390199
111,huarmey,-10.0681,-78.1522,18.87,73,59,3.31,PE,1723390200
112,tolanaro,-25.0319,46.9987,23.04,78,0,9.77,MG,1723390201
113,polyarnyy,69.1989,33.4478,18.13,57,63,6.55,RU,1723390202
114,acapulco de juarez,16.8634,-99.8901,30.9,70,40,0.0,MX,1723389983
115,kuruman,-27.4524,23.4325,15.78,16,40,5.5,ZA,1723390204
116,san patricio,28.017,-97.5169,32.86,49,64,2.35,US,1723390205
117,faya-largeau,17.9257,19.1043,35.42,39,80,3.63,TD,1723390206
118,beira,-19.8436,34.8389,26.05,78,0,4.63,MZ,1723390207
119,pioner,55.3166,85.9508,16.69,88,0,3.0,RU,1723390208
120,al jawf,29.5,38.75,34.66,7,0,5.37,SA,1723390210
121,porto novo,6.4965,2.6036,27.8,66,89,5.41,BJ,1723390211
122,ust-nera,64.5667,143.2,14.84,65,97,2.85,RU,1723390212
123,sarykemer,43.0,71.5,25.76,27,14,3.97,KZ,1723390213
124,nicoya,10.1483,-85.452,28.36,75,74,1.74,CR,1723389984
125,shingu,33.7333,135.9833,25.7,82,95,2.16,JP,1723390215
126,masinloc,15.5333,120.05,21.23,93,52,1.61,PH,1723390216
127,qaqortoq,60.7167,-46.0333,7.16,87,100,6.12,GL,1723390217
128,kimberley,-28.7323,24.7623,20.83,43,0,5.14,ZA,1723390218
129,labytnangi,66.6572,66.4183,16.67,54,100,6.13,RU,1723390219
130,matara,5.9485,80.5353,26.11,87,98,4.17,LK,1723390220
131,broken hill,-31.95,141.4333,12.56,67,0,4.14,AU,1723390221
132,sisimiut,66.9395,-53.6735,7.96,78,99,1.84,GL,1723390222
133,bengkulu,-3.8004,102.2655,24.71,93,95,3.55,ID,1723390223
134,jutai,-5.1833,-68.9,31.97,38,83,1.56,BR,1723390225
135,abu jibeha,11.4562,31.2285,24.52,86,100,1.65,SD,1723390226
136,mangalia,43.8,28.5833,26.66,62,0,3.92,RO,1723390227
137,alofi,-19.0595,-169.9187,14.94,88,78,1.03,NU,1723390228
138,santa ana de yacuma,-13.75,-65.4333,24.97,33,16,3.09,BO,1723390229
139,kenai,60.5544,-151.2583,10.08,99,100,3.09,US,1723390230
140,tofol,5.3248,163.0078,28.01,75,46,2.78,FM,1723390231
141,qarqaraly,49.4058,75.4742,15.37,53,100,2.3,KZ,1723390232
142,kruisfontein,-34.0033,24.7314,12.92,66,70,9.15,ZA,1723390233
143,udachny,66.4167,112.4,9.98,70,100,0.67,RU,1723390234
144,shuangjiang,26.1547,109.7138,23.09,98,100,0.74,CN,1723390235
145,al ain city,24.1917,55.7606,42.79,23,0,3.09,AE,1723390236
146,bay roberts,47.5999,-53.2648,17.86,95,98,1.34,CA,1723390237
147,talakan,50.3167,130.3667,16.95,97,100,2.54,RU,1723390238
148,camapua,-19.5314,-54.0439,25.45,10,4,2.21,BR,1723390239
149,karratha,-20.7377,116.8463,21.77,59,0,3.52,AU,1723390241
150,ilulissat,69.2167,-51.1,7.01,87,40,4.63,GL,1723390242
151,rikaze,29.25,88.8833,15.29,60,81,1.49,CN,1723390243
152,kete krachi,7.7939,-0.0498,27.45,71,79,4.2,GH,1723390244
153,yagoua,10.3411,15.2329,27.78,77,98,2.51,CM,1723390245
154,macheng,31.1783,115.0319,26.74,66,79,1.2,CN,1723390246
155,riohacha,11.5444,-72.9072,33.06,70,20,1.54,CO,1723390247
156,arti,56.4234,58.5328,10.89,86,76,3.12,RU,1723390248
157,saudarkrokur,65.7461,-19.6394,11.61,73,84,2.49,IS,1723390249
158,teguise,29.0605,-13.564,26.12,54,20,8.23,ES,1723390250
159,taksimo,56.3444,114.8794,19.84,61,47,0.56,RU,1723390251
160,vadso,70.0744,29.7487,16.09,77,40,7.72,NO,1723390252
161,kuanda,56.3161,116.0806,21.58,52,72,1.37,RU,1723390253
162,marsciano,42.9059,12.3359,39.65,25,80,1.34,IT,1723390254
163,hassi messaoud,31.6804,6.0729,40.92,12,0,3.6,DZ,1723390255
164,ust'-ilimsk,58.0006,102.6619,17.99,97,14,2.57,RU,1723390257
165,charters towers,-20.1,146.2667,15.22,93,96,5.78,AU,1723390258
166,uturoa,-16.7333,-151.4333,24.49,82,95,5.0,PF,1723390259
167,kapa'a,22.0752,-159.319,26.18,84,75,7.2,US,1723390260
168,klaksvik,62.2266,-6.589,11.68,86,100,2.7,FO,1723390261
169,buturlino,55.5667,44.8974,15.96,91,100,2.61,RU,1723390262
170,pandan,14.0453,124.1694,27.24,87,78,3.37,PH,1723390263
171,kidal,18.4411,1.4078,36.94,30,58,3.55,ML,1723390264
172,launceston,-41.45,147.1667,9.8,93,100,3.6,AU,1723390265
173,geraldton,-28.7667,114.6,14.23,82,13,3.6,AU,1723389975
174,ancud,-41.8697,-73.8203,8.89,75,64,2.04,CL,1723390268
175,yelizovo,53.1873,158.3805,8.08,100,20,2.0,RU,1723390261
176,berezovyy,51.6667,135.7,16.39,99,100,1.13,RU,1723390270
177,aykhal,66.0,111.5,6.43,85,78,1.11,RU,1723390272
178,karyes,37.3,22.5,24.95,36,0,7.64,GR,1723390273
179,tura,25.5198,90.2201,24.72,95,85,2.35,IN,1723390274
180,hadibu,12.65,54.0333,26.33,77,95,6.61,YE,1723390275
181,cabo san lucas,22.8909,-109.9124,31.53,76,40,4.12,MX,1723390276
182,petrovsk-zabaykal'skiy,51.273,108.843,17.94,71,0,0.92,RU,1723390277
183,moree,-29.4667,149.85,12.35,74,81,3.23,AU,1723390278
184,sinop,41.7711,34.8709,21.7,62,0,2.06,TR,1723390279
185,hithadhoo,-0.6,73.0833,28.33,74,72,6.15,MV,1723390280
186,am timan,11.0297,20.2827,22.93,93,100,0.78,TD,1723390281
187,yerofey pavlovich,53.9667,121.9667,13.81,89,0,1.52,RU,1723390282
188,imbituba,-28.24,-48.6703,16.3,54,0,3.39,BR,1723390283
189,port alfred,-33.5906,26.891,16.77,78,63,4.02,ZA,1723390284
190,puerto ayora,-0.7393,-90.3518,20.86,90,51,2.68,EC,1723390285
191,galle,6.0367,80.217,26.53,84,100,3.94,LK,1723390286
192,tweed heads,-28.1817,153.547,16.02,100,75,3.6,AU,1723390287
193,maceio,-9.6658,-35.7353,30.69,62,20,5.66,BR,1723390216
194,saucillo,28.0167,-105.2833,27.8,41,97,2.24,MX,1723390290
195,abdulino,53.7,53.6667,15.99,92,73,2.42,RU,1723390292
196,kenora,49.8167,-94.4337,20.54,68,20,3.09,CA,1723390293
197,jasper,37.2001,-94.3502,22.03,73,100,2.06,US,1723390295
198,enewetak,11.3474,162.3373,28.75,76,81,7.46,MH,1723390296
199,kupang,-10.1667,123.5833,26.32,69,8,3.6,ID,1723390297
200,ushuaia,-54.8,-68.3,1.81,80,0,0.51,AR,1723390142
201,juquitiba,-23.9317,-47.0683,20.27,34,72,2.29,BR,1723390299
202,taroa,8.7058,171.2275,28.1,77,100,4.71,MH,1723390301
203,caleta de carquin,-11.0925,-77.6267,18.55,70,68,4.31,PE,1723390302
204,saldanha,-33.0117,17.9442,13.71,81,82,4.44,ZA,1723390305
205,city of balikpapan,-1.242,116.8942,25.76,82,16,3.23,ID,1723390306
206,talnakh,69.4865,88.3972,16.93,51,88,3.53,RU,1723390307
207,bridgewater,44.3835,-64.5155,26.73,64,3,5.14,CA,1723390308
208,afaahiti,-17.75,-149.2833,23.39,85,93,5.05,PF,1723390309
209,galappo,-4.2667,35.85,22.35,31,7,2.51,TZ,1723390310
210,cestos city,5.46,-9.5828,26.41,76,89,5.59,LR,1723390311
211,wakkanai,45.4094,141.6739,16.94,91,100,10.68,JP,1723390312
212,zouerate,22.7187,-12.4521,44.12,8,25,6.43,MR,1723390313
213,daru,-9.0763,143.2092,24.37,91,47,4.66,PG,1723390314
214,haiku-pauwela,20.9219,-156.3051,21.2,80,0,2.57,US,1723390315
215,buchanan,5.8808,-10.0467,26.66,74,75,5.4,LR,1723390316
216,queenstown,-31.8976,26.8753,13.91,47,49,7.55,ZA,1723390317
217,kirakira,-10.4544,161.9205,25.17,88,100,4.91,SB,1723390321
218,nago,26.5881,127.9761,27.57,83,51,1.74,JP,1723390322
219,worthington,40.0931,-83.018,23.3,55,0,5.66,US,1723390234
220,guerrero negro,27.9769,-114.0611,25.92,53,2,2.44,MX,1723390325
221,bikenibeu village,1.3673,173.1241,28.98,74,20,2.57,KI,1723390326
222,barah,13.7,30.3667,33.04,45,100,3.62,SD,1723390327
223,robore,-18.3333,-59.75,24.38,26,35,1.11,BO,1723390328
224,atafu village,-8.5421,-172.5159,28.3,74,23,8.69,TK,1723390329
225,saint-francois,46.4154,3.9054,34.69,44,0,4.12,FR,1723390330
226,mount isa,-20.7333,139.5,16.87,45,2,4.63,AU,1723390331
227,la passe,45.5549,-0.8967,38.1,20,0,2.86,FR,1723390332
228,copala,16.65,-98.9833,29.23,69,99,2.46,MX,1723390333
229,sao felix do xingu,-6.6447,-51.995,38.66,21,4,0.4,BR,1723390334
230,luang namtha,20.9497,101.4011,23.49,98,100,0.56,LA,1723390336
231,kayes,14.0,-11.0,29.67,67,78,0.92,ML,1723390337
232,oyotun,-6.8519,-79.3036,26.67,53,33,3.36,PE,1723390338
233,west end,26.6833,-78.9667,28.68,75,4,2.86,BS,1723390339
234,san luis de la loma,17.2706,-100.8939,29.77,67,70,1.28,MX,1723390340
235,sarwar,26.0667,75.0,25.96,89,100,3.0,IN,1723390341
236,bullsbrook,-31.6667,116.0,13.03,82,75,4.63,AU,1723390342
237,makushino,55.2103,67.2442,13.74,59,53,2.14,RU,1723390343
238,pudasjarvi,65.3833,26.9167,16.62,80,100,1.39,FI,1723390344
239,bamboo flat,11.7,92.7167,27.27,82,70,3.27,IN,1723390345
240,uglegorsk,49.0833,142.0333,14.06,80,100,2.11,RU,1723390346
241,kone,-21.0595,164.8658,19.8,86,100,2.04,NC,1723390347
242,segovia,41.1667,-4.0,34.88,14,29,7.24,ES,1723390348
243,newman,37.3138,-121.0208,27.26,28,99,1.33,US,1723390349
244,alakurtti,66.9672,30.3491,17.78,57,42,4.89,RU,1723390350
245,harnai,30.1005,67.9374,32.26,52,0,2.02,PK,1723390351
246,banda aceh,5.5577,95.3222,25.05,90,93,8.19,ID,1723390353
247,fortuna,40.5982,-124.1573,14.4,97,100,0.0,US,1723390355
248,castillos,-34.1667,-53.8333,14.12,49,6,6.95,UY,1723390356
249,lodwar,3.1191,35.5973,33.04,31,38,3.52,KE,1723390357
250,constantia,44.1833,28.65,26.72,62,0,4.24,RO,1723390348
251,vorgashor,67.5833,63.95,14.25,63,43,5.06,RU,1723390360
252,shawano,44.7822,-88.609,21.99,60,0,3.6,US,1723390332
253,glendive,47.1053,-104.7125,18.79,55,100,5.14,US,1723390362
254,kapuskasing,49.4169,-82.4331,12.05,100,100,2.57,CA,1723390363
255,lihue,21.9789,-159.3672,25.77,81,75,7.2,US,1723390364
256,petauke,-14.2426,31.3253,24.81,19,0,1.76,ZM,1723390365
257,longboat key,27.4125,-82.659,33.33,77,0,2.57,US,1723390366
258,nadi,-17.8,177.4167,20.0,73,20,4.12,FJ,1723390297
259,kharp,66.8014,65.8081,15.87,58,98,4.54,RU,1723390368
260,touros,-5.1989,-35.4608,28.4,63,58,5.98,BR,1723390275
261,puerto baquerizo moreno,-0.9,-89.6,21.55,78,75,2.06,EC,1723390370
262,gandajika,-6.75,23.95,33.58,13,52,0.42,CD,1723390371
263,cruz bay,18.3313,-64.7937,30.44,70,20,7.72,VI,1723390372
264,sebezh,56.2955,28.4654,15.35,85,95,4.99,RU,1723390374
265,taveta,-3.3963,37.6736,24.77,51,88,5.42,KE,1723390375
266,dryden,49.7833,-92.7503,19.16,72,0,1.54,CA,1723390376
267,berdigestyakh,62.0989,126.6992,12.47,66,40,2.63,RU,1723390377
268,satun,6.8333,100.0,24.46,97,100,1.48,TH,1723390378
269,tchibanga,-2.85,11.0333,25.57,69,100,2.92,GA,1723390379
270,kerikeri,-35.2268,173.9474,8.57,89,29,1.84,NZ,1723390380
271,fort bragg,35.139,-79.006,30.38,77,20,1.54,US,1723390381
272,neietsu,37.1845,128.4682,23.4,96,0,0.96,KR,1723390382
273,namibe,-15.1961,12.1522,20.3,83,3,6.41,AO,1723390384
274,kendari,-3.945,122.4989,22.67,91,30,1.23,ID,1723390132
275,howard springs,-12.497,131.047,19.43,88,57,1.27,AU,1723390386
276,lady frere,-31.7031,27.2329,14.67,47,46,5.83,ZA,1723390387
277,isafjordur,66.0755,-23.124,11.02,76,100,4.12,IS,1723390388
278,manfalut,27.3104,30.97,39.22,15,3,6.45,EG,1723390390
279,uyuni,-20.4597,-66.825,7.05,9,98,3.59,BO,1723390391
280,cova figueira,14.8905,-24.2934,19.54,85,79,1.52,CV,1723390392
281,north battleford,52.7834,-108.2847,18.05,55,0,3.09,CA,1723390393
282,akureyri,65.6835,-18.0878,11.96,71,75,3.09,IS,1723390394
283,ulladulla,-35.35,150.4667,10.32,92,2,1.64,AU,1723390395
284,holualoa,19.6228,-155.9522,21.91,86,0,2.57,US,1723390396
285,ivdel',60.6911,60.4206,11.83,72,37,0.4,RU,1723390397
286,selfoss,63.9331,-20.9971,12.92,71,99,4.6,IS,1723390398
287,severo-yeniseyskiy,60.3725,93.0408,11.52,93,96,1.99,RU,1723390399
288,pemangkat,1.1667,108.9667,24.23,94,100,2.67,ID,1723390400
289,thunder bay,48.4001,-89.3168,18.95,63,75,2.06,CA,1723390348
290,gambela,8.25,34.5833,24.12,88,100,1.73,ET,1723390402
291,hailar,49.2,119.7,16.82,86,100,1.09,CN,1723390404
292,zorya,45.9908,29.6967,31.37,32,2,5.58,UA,1723390405
293,tuba city,36.135,-111.2399,25.21,52,72,1.34,US,1723390406
294,hard bargain,26.3167,-77.5667,28.5,76,10,2.35,BS,1723390407
295,paracho de verduzco,19.65,-102.0667,19.81,64,100,0.44,MX,1723390408
296,iwon-up,40.3231,128.6553,24.27,95,98,0.12,KP,1723390409
297,flying fish cove,-10.4217,105.6791,24.82,73,75,5.66,CX,1723390410
298,kourou,5.1552,-52.6478,30.31,63,92,2.8,GF,1723390205
299,bafoulabe,13.8065,-10.8321,29.9,72,86,0.68,ML,1723390413
300,mendoza,-32.8908,-68.8272,13.74,21,0,3.6,AR,1723390166
301,fada,7.25,4.0667,27.67,65,98,1.92,NG,1723390415
302,mega,4.05,38.3,20.06,50,63,4.43,ET,1723390416
303,zepce,44.4267,18.0378,33.18,30,0,2.78,BA,1723390417
304,revda,56.801,59.9303,12.4,81,96,1.91,RU,1723390418
305,nabire,-3.3667,135.4833,24.22,91,100,1.4,ID,1723390419
306,hazleton,40.9584,-75.9746,22.95,66,74,2.24,US,1723390149
307,kertih,4.5141,103.4483,25.01,83,19,1.54,MY,1723390422
308,al qadarif,14.0349,35.3834,28.47,68,100,2.55,SD,1723390423
309,batang,-6.4846,110.7083,25.23,78,14,2.77,ID,1723390424
310,zag,46.9441,99.165,13.57,74,40,1.57,MN,1723390425
311,choyr,46.3611,108.3611,18.99,54,83,1.48,MN,1723390426
312,waimea,20.0231,-155.6717,19.7,91,12,1.34,US,1723390427
313,kuytun,54.3419,101.5036,16.71,93,95,2.37,RU,1723390428
314,bardai,11.65,7.2333,26.34,73,94,4.91,NG,1723390429
315,cagnano varano,41.8287,15.7732,31.99,37,4,2.86,IT,1723390430
316,grande prairie,55.1667,-118.8027,17.1,72,20,0.0,CA,1723390193
317,metlili chaamba,32.2667,3.6333,39.52,13,0,2.57,DZ,1723390432
318,mitu,1.1983,-70.1733,28.96,61,93,1.55,CO,1723390433
319,wajir,1.7471,40.0573,31.98,35,75,4.63,KE,1723390434
320,butterworth,5.3991,100.3638,27.02,78,40,2.06,MY,1723390435
321,okha,53.5739,142.9478,11.59,91,100,7.61,RU,1723390436
322,hobyo,5.3505,48.5268,24.25,82,43,12.01,SO,1723390437
323,pisco,-13.7,-76.2167,16.03,82,100,1.03,PE,1723390440
324,new norfolk,-42.7826,147.0587,5.65,98,13,1.38,AU,1723390441
325,khandyga,62.6667,135.6,14.1,75,44,1.67,RU,1723390442
326,keflavik,64.0049,-22.5624,13.24,71,75,5.14,IS,1723390443
327,ashland,40.8167,-82.2665,20.68,65,0,4.81,US,1723390213
328,mount pearl,47.5166,-52.7813,19.62,100,100,2.06,CA,1723390445
329,whakatane,-37.9585,176.9854,5.28,99,20,1.86,NZ,1723390446
330,baruun-urt,46.6806,113.2792,17.03,61,47,2.92,MN,1723390447
331,springfield,37.2153,-93.2982,23.87,66,75,4.12,US,1723390429
332,samana,19.2056,-69.3369,31.12,74,20,3.09,DO,1723390449
333,turi,40.9173,17.0212,33.6,37,0,5.66,IT,1723390450
334,madang,-5.2246,145.7966,24.59,92,88,0.99,PG,1723390451
335,brisas de zicatela,15.8369,-97.0419,24.29,100,75,1.03,MX,1723390452
336,puerto morazan,12.8504,-87.1717,31.66,61,6,2.45,NI,1723390453
337,cabeza del buey,38.7223,-5.2195,38.68,10,0,4.11,ES,1723390455
338,rio tuba,8.5061,117.4317,27.43,79,50,2.58,PH,1723390456
339,harstad,68.799,16.5293,14.23,97,99,4.47,NO,1723390457
340,vuktyl,63.8567,57.3094,16.73,59,45,1.7,RU,1723390458
341,sretensk,52.2453,117.7093,16.24,69,4,0.51,RU,1723390459
342,biloela,-24.4167,150.5,15.39,93,100,4.6,AU,1723390460
343,zhosaly,45.4878,64.0781,29.82,27,0,4.97,KZ,1723390461
344,palmer,42.1584,-72.3287,25.85,51,20,3.09,US,1723390352
345,midvagur,62.0511,-7.1939,14.46,82,20,4.63,FO,1723390463
346,tsumeb,-19.2333,17.7167,28.81,7,0,4.88,NA,1723390203
347,torghay,49.6339,63.4981,23.03,43,62,2.3,KZ,1723390465
348,nova sintra,14.8667,-24.7167,26.15,75,59,3.98,CV,1723390466
349,coronel dorrego,-38.7187,-61.2873,8.73,57,60,11.42,AR,1723390467
350,yamada,39.4667,141.95,23.47,99,100,8.53,JP,1723390468
351,dwarka,22.2394,68.9678,27.61,88,97,8.26,IN,1723390469
352,ixtapa,20.7,-105.2,29.01,74,75,1.03,MX,1723390470
353,puerto armuelles,8.2833,-82.8667,25.61,89,30,2.24,PA,1723390255
354,mont-laurier,46.5501,-75.4993,19.78,54,80,3.7,CA,1723390284
355,codrington,-38.2667,141.9667,8.54,73,67,4.58,AU,1723390474
356,kavaratti,10.5669,72.642,27.38,86,100,6.71,IN,1723390475
357,hopelchen,19.7667,-89.85,33.69,46,99,1.91,MX,1723390476
358,lemmer,52.8462,5.7091,22.64,66,24,2.73,NL,1723390477
359,arauquita,7.0292,-71.4281,30.74,56,85,1.41,CO,1723390478
360,alenquer,-1.9417,-54.7383,32.78,50,76,1.82,BR,1723390480
361,orgiva,36.9026,-3.4238,30.67,57,0,1.79,ES,1723390481
362,mezhdurechenskiy,59.6,65.9333,11.9,71,90,1.83,RU,1723390482
363,al khafji,28.4391,48.4913,33.5,64,4,5.4,SA,1723390483
364,malango,-2.9627,119.9001,17.21,93,20,1.05,ID,1723390484
365,as sulayyil,20.4607,45.5779,39.85,10,77,5.38,SA,1723390485
366,sabha,27.0377,14.4283,38.14,16,4,3.71,LY,1723390486
